club_from,club_to,transfers
Hamburger SV,1.FC Saarbrücken,1
FC Schalke 04,1.FC Saarbrücken,1
Karlsruher SC,1.FC Saarbrücken,1
1.FC Saarbrücken,MSV Duisburg,1
SG Wattenscheid 09,Bayern Munich,1
MSV Duisburg,Bayer 05 Uerdingen,2
Hamburger SV,SV Werder Bremen,9
Hannover 96,SV Werder Bremen,5
SV Werder Bremen,SC Freiburg,5
SV Werder Bremen,Hamburger SV,4
SV Werder Bremen,MSV Duisburg,6
1.FC Nuremberg,VfB Stuttgart,17
Bayern Munich,VfB Stuttgart,11
VfB Stuttgart,SSV Ulm 1846,3
VfB Stuttgart,1.FC Nuremberg,17
Bayern Munich,Karlsruher SC,4
Karlsruher SC,Bayern Munich,9
Karlsruher SC,MSV Duisburg,4
Bayern Munich,Hamburger SV,14
Hamburger SV,VfL Wolfsburg,12
Bayern Munich,FC Schalke 04,14
FC Augsburg,Bayern Munich,3
FC Schalke 04,Borussia Dortmund,4
Borussia Dortmund,Bayern Munich,6
Bayer 04 Leverkusen,Bayern Munich,7
Bayer 04 Leverkusen,Hertha BSC,9
1.FC Nuremberg,FC St. Pauli,1
1. FC Köln,Hannover 96,6
1.FC Nuremberg,1.FC Kaiserslautern,1
SC Freiburg,1.FC Kaiserslautern,2
1.FC Kaiserslautern,FC Schalke 04,4
Hertha BSC,SG Dynamo Dresden,1
VfB Stuttgart,SG Dynamo Dresden,1
SG Dynamo Dresden,1.FC Nuremberg,2
Bayern Munich,1.FC Nuremberg,16
Borussia Dortmund,MSV Duisburg,6
Hamburger SV,Hertha BSC,14
Hamburger SV,FC St. Pauli,10
Hamburger SV,VfB Leipzig (- 2004),1
VfB Leipzig (- 2004),VfB Stuttgart,1
1.FC Nuremberg,SG Dynamo Dresden,2
SG Dynamo Dresden,Bayern Munich,1
SG Dynamo Dresden,1. FC Köln,1
SG Dynamo Dresden,FC St. Pauli,2
Hertha BSC,SV Werder Bremen,6
SV Werder Bremen,1. FC Köln,5
SV Werder Bremen,FC Schalke 04,8
FC Schalke 04,SC Freiburg,6
1.FC Nuremberg,MSV Duisburg,5
MSV Duisburg,FC St. Pauli,3
MSV Duisburg,Hannover 96,4
VfL Bochum,Karlsruher SC,1
1. FC Köln,1.FC Kaiserslautern,3
1.FC Kaiserslautern,Bayern Munich,3
1.FC Kaiserslautern,Hertha BSC,2
1.FC Nuremberg,Bayern Munich,12
VfB Stuttgart,Eintracht Frankfurt,4
Hamburger SV,Eintracht Frankfurt,8
FC Schalke 04,Eintracht Frankfurt,11
Eintracht Frankfurt,VfB Stuttgart,3
Eintracht Frankfurt,Karlsruher SC,4
Borussia Mönchengladbach,1.FC Nuremberg,4
Bayer 04 Leverkusen,VfL Bochum,7
1. FC Köln,VfL Wolfsburg,12
VfB Stuttgart,VfB Leipzig (- 2004),1
1. FC Köln,SG Dynamo Dresden,1
SG Wattenscheid 09,Hannover 96,1
FC Schalke 04,SV Werder Bremen,5
1.FC Kaiserslautern,FC St. Pauli,2
1.FC Nuremberg,FC Schalke 04,7
Bayern Munich,VfL Bochum,2
Eintracht Frankfurt,Hamburger SV,5
Hertha BSC,Bayer 04 Leverkusen,6
FC St. Pauli,1.FC Kaiserslautern,3
1.FC Kaiserslautern,Karlsruher SC,3
1. FC Köln,Bayer 05 Uerdingen,2
Karlsruher SC,Bayer 05 Uerdingen,1
Bayer 05 Uerdingen,MSV Duisburg,1
SV Werder Bremen,1.FC Nuremberg,8
SV Werder Bremen,Hannover 96,4
VfB Stuttgart,VfL Bochum,6
VfB Stuttgart,Karlsruher SC,9
1.FC Nuremberg,TSV 1860 Munich,3
Bayern Munich,TSV 1860 Munich,2
SC Freiburg,TSV 1860 Munich,1
TSV 1860 Munich,Hannover 96,2
TSV 1860 Munich,1.FSV Mainz 05,1
Hannover 96,SC Freiburg,4
FC St. Pauli,MSV Duisburg,1
MSV Duisburg,Karlsruher SC,4
1.FC Nuremberg,Karlsruher SC,5
SSV Ulm 1846,Karlsruher SC,1
Karlsruher SC,1. FC Köln,6
1.FC Nuremberg,Hamburger SV,9
Hannover 96,Hamburger SV,8
Hamburger SV,Bayern Munich,15
FC Schalke 04,Hannover 96,7
Bayern Munich,1. FC Köln,15
1.FC Nuremberg,Eintracht Frankfurt,7
1.FSV Mainz 05,Eintracht Frankfurt,4
Eintracht Frankfurt,1.FC Nuremberg,1
Borussia Mönchengladbach,1.FSV Mainz 05,4
1.FC Nuremberg,Borussia Dortmund,2
SSV Ulm 1846,Borussia Dortmund,2
Borussia Dortmund,VfB Stuttgart,9
Borussia Dortmund,Hannover 96,4
Borussia Dortmund,SSV Ulm 1846,1
Bayern Munich,Bayer 04 Leverkusen,3
Bayer 04 Leverkusen,VfB Stuttgart,6
Bayer 04 Leverkusen,Hamburger SV,7
Bayer 04 Leverkusen,FC St. Pauli,5
FC Augsburg,1. FC Köln,3
Hamburger SV,SG Dynamo Dresden,3
TSV 1860 Munich,VfL Wolfsburg,4
TSV 1860 Munich,1.FC Nuremberg,7
1.FC Kaiserslautern,MSV Duisburg,2
1. FC Köln,FC Schalke 04,6
VfB Stuttgart,FC St. Pauli,5
FC St. Pauli,Hannover 96,5
KFC Uerdingen 05,Karlsruher SC,1
1. FC Köln,TSV 1860 Munich,1
1.FSV Mainz 05,TSV 1860 Munich,2
TSV 1860 Munich,FC Augsburg,2
Bayern Munich,SC Freiburg,4
SC Freiburg,1. FC Köln,4
Hamburger SV,Hannover 96,11
MSV Duisburg,FC Schalke 04,4
1.FSV Mainz 05,FC Schalke 04,27
FC Schalke 04,VfB Stuttgart,8
FC Schalke 04,1. FC Köln,11
Hannover 96,FC Hansa Rostock,3
1.FC Nuremberg,FC Hansa Rostock,1
FC Hansa Rostock,FC St. Pauli,1
Bayern Munich,Eintracht Frankfurt,3
FC Augsburg,Eintracht Frankfurt,5
Eintracht Frankfurt,FC St. Pauli,5
Eintracht Frankfurt,VfL Bochum,6
Bayern Munich,Borussia Mönchengladbach,3
VfL Bochum,Borussia Mönchengladbach,1
1.FC Nuremberg,Borussia Mönchengladbach,4
Borussia Mönchengladbach,MSV Duisburg,6
Borussia Mönchengladbach,FC Schalke 04,2
Borussia Dortmund,FC Schalke 04,4
Bayer 04 Leverkusen,1.FC Nuremberg,11
Bayer 04 Leverkusen,FC Schalke 04,6
Bayer 04 Leverkusen,MSV Duisburg,9
VfB Stuttgart,Bayern Munich,15
Hamburger SV,Fortuna Düsseldorf,2
VfL Wolfsburg,Fortuna Düsseldorf,1
FC Augsburg,Fortuna Düsseldorf,4
Karlsruher SC,1.FSV Mainz 05,3
VfB Stuttgart,MSV Duisburg,6
VfB Stuttgart,Hertha BSC,15
1. FC Köln,VfL Bochum,4
SC Freiburg,SV Werder Bremen,5
SV Werder Bremen,Bayern Munich,11
VfL Bochum,1.FC Kaiserslautern,3
VfL Wolfsburg,1.FC Kaiserslautern,3
1.FC Kaiserslautern,VfB Stuttgart,2
SC Freiburg,Hertha BSC,7
SC Freiburg,Hannover 96,7
Hamburger SV,1.FSV Mainz 05,8
FC Hansa Rostock,Hannover 96,2
SC Freiburg,Borussia Dortmund,7
Borussia Dortmund,Hertha BSC,5
FC Augsburg,VfB Stuttgart,8
1. FC Köln,SV Werder Bremen,5
1.FC Kaiserslautern,Hamburger SV,3
1. FC Köln,Fortuna Düsseldorf,1
Bayern Munich,SV Werder Bremen,8
SV Werder Bremen,Hertha BSC,4
Karlsruher SC,TSV 1860 Munich,3
TSV 1860 Munich,Hamburger SV,2
FC St. Pauli,Hertha BSC,1
1.FSV Mainz 05,FC Hansa Rostock,1
MSV Duisburg,FC Hansa Rostock,1
FC St. Pauli,FC Hansa Rostock,3
Borussia Dortmund,1. FC Köln,10
Karlsruher SC,Bayer 04 Leverkusen,6
1.FC Nuremberg,Bayer 04 Leverkusen,12
VfB Stuttgart,Arminia Bielefeld,2
Bayern Munich,Fortuna Düsseldorf,1
VfB Stuttgart,Fortuna Düsseldorf,5
FC Schalke 04,Hertha BSC,5
Borussia Mönchengladbach,SC Freiburg,3
SC Freiburg,Hamburger SV,4
SC Freiburg,VfL Wolfsburg,6
SC Freiburg,VfL Bochum,5
VfL Bochum,FC Schalke 04,10
SSV Ulm 1846,VfB Stuttgart,1
SC Freiburg,VfB Stuttgart,6
FC St. Pauli,VfB Stuttgart,2
SC Freiburg,MSV Duisburg,4
VfB Stuttgart,1.FC Kaiserslautern,4
1.FC Kaiserslautern,VfL Wolfsburg,5
FC Hansa Rostock,VfB Stuttgart,2
FC Hansa Rostock,1.FC Nuremberg,2
MSV Duisburg,Borussia Mönchengladbach,2
Borussia Mönchengladbach,SSV Ulm 1846,1
SC Freiburg,Bayer 04 Leverkusen,6
Bayer 04 Leverkusen,VfL Wolfsburg,7
FC St. Pauli,Arminia Bielefeld,2
SC Freiburg,Arminia Bielefeld,1
Arminia Bielefeld,Hamburger SV,1
Arminia Bielefeld,SSV Ulm 1846,1
Arminia Bielefeld,Hannover 96,1
1.FC Kaiserslautern,1.FC Nuremberg,2
Karlsruher SC,VfL Wolfsburg,3
VfL Wolfsburg,VfB Stuttgart,19
VfL Wolfsburg,FC St. Pauli,4
VfL Wolfsburg,Karlsruher SC,5
VfL Bochum,Hertha BSC,8
VfL Bochum,1. FC Köln,6
1. FC Köln,VfB Stuttgart,5
MSV Duisburg,VfB Stuttgart,4
VfB Stuttgart,Hannover 96,5
Hertha BSC,TSV 1860 Munich,1
FC Schalke 04,TSV 1860 Munich,3
TSV 1860 Munich,Bayern Munich,1
Hamburger SV,SC Freiburg,5
MSV Duisburg,1.FC Nuremberg,4
1. FC Köln,Hertha BSC,5
Hertha BSC,Karlsruher SC,4
Karlsruher SC,Hamburger SV,6
Hamburger SV,Karlsruher SC,7
Hamburger SV,FC Schalke 04,12
FC Schalke 04,Bayern Munich,16
FC Hansa Rostock,VfL Wolfsburg,1
FC Hansa Rostock,Hamburger SV,3
1. FC Köln,Bayern Munich,5
1. FC Köln,Borussia Mönchengladbach,1
VfB Stuttgart,Borussia Mönchengladbach,3
Borussia Mönchengladbach,Bayern Munich,5
Borussia Mönchengladbach,VfL Wolfsburg,4
MSV Duisburg,Borussia Dortmund,4
1. FC Köln,Borussia Dortmund,6
Bayern Munich,Borussia Dortmund,7
Karlsruher SC,Borussia Dortmund,7
VfL Bochum,Bayer 04 Leverkusen,7
FC Augsburg,1.FC Nuremberg,4
Karlsruher SC,VfL Bochum,2
Bayern Munich,MSV Duisburg,4
1. FC Köln,MSV Duisburg,4
Hertha BSC,FC St. Pauli,3
SC Freiburg,Borussia Mönchengladbach,5
Borussia Dortmund,1.FC Nuremberg,3
Bayer 04 Leverkusen,1. FC Köln,2
Bayern Munich,Hertha BSC,13
VfL Wolfsburg,MSV Duisburg,8
FC Augsburg,MSV Duisburg,1
Hertha BSC,MSV Duisburg,7
VfB Stuttgart,Borussia Dortmund,7
Hannover 96,Borussia Dortmund,2
VfL Wolfsburg,Borussia Dortmund,4
MSV Duisburg,1.FC Kaiserslautern,3
1.FC Kaiserslautern,1. FC Köln,4
VfB Stuttgart,VfL Wolfsburg,21
VfL Wolfsburg,Hamburger SV,10
FC St. Pauli,TSV 1860 Munich,1
TSV 1860 Munich,Karlsruher SC,1
