club_from,club_to,transfers
1.FSV Mainz 05,Bayern Munich,2
Bayern Munich,VfL Wolfsburg,4
FC St. Pauli,Borussia Dortmund,1
MSV Duisburg,Borussia Dortmund,1
Borussia Dortmund,Bayern Munich,3
Borussia Dortmund,Hannover 96,1
Borussia Dortmund,1.FC Nuremberg,1
Borussia Dortmund,Hamburger SV,1
Borussia Dortmund,FC Schalke 04,1
Borussia Dortmund,1.FSV Mainz 05,2
Borussia Dortmund,VfB Stuttgart,5
Hamburger SV,Bayer 04 Leverkusen,5
Bayern Munich,Bayer 04 Leverkusen,1
VfL Bochum,Bayer 04 Leverkusen,2
Bayer 04 Leverkusen,Hertha BSC,2
Bayer 04 Leverkusen,FC Augsburg,6
Bayer 04 Leverkusen,VfB Stuttgart,2
1.FSV Mainz 05,FC Schalke 04,13
VfL Bochum,FC Schalke 04,4
1. FC Köln,FC Schalke 04,4
Hamburger SV,FC Schalke 04,4
VfB Stuttgart,FC Schalke 04,5
FC Schalke 04,1.FSV Mainz 05,6
VfL Wolfsburg,SC Freiburg,4
Karlsruher SC,SC Freiburg,7
SC Freiburg,VfL Wolfsburg,4
SC Freiburg,Eintracht Frankfurt,2
FC Schalke 04,Eintracht Frankfurt,6
VfL Wolfsburg,Eintracht Frankfurt,2
MSV Duisburg,Eintracht Frankfurt,2
Eintracht Frankfurt,VfL Bochum,3
Eintracht Frankfurt,VfL Wolfsburg,3
Hertha BSC,Hamburger SV,6
Karlsruher SC,Hamburger SV,3
Hamburger SV,Hertha BSC,6
SC Freiburg,Borussia Mönchengladbach,2
Borussia Mönchengladbach,SC Freiburg,2
Borussia Mönchengladbach,VfL Wolfsburg,2
FC St. Pauli,Hannover 96,2
1. FC Köln,Hannover 96,5
Hannover 96,VfB Stuttgart,7
Hannover 96,MSV Duisburg,1
VfL Wolfsburg,1.FC Nuremberg,7
1.FC Nuremberg,VfL Wolfsburg,7
RB Leipzig,VfL Wolfsburg,1
FC St. Pauli,VfL Wolfsburg,2
FC Augsburg,VfL Wolfsburg,6
VfL Bochum,VfL Wolfsburg,3
VfB Stuttgart,VfL Wolfsburg,9
VfL Wolfsburg,1.FSV Mainz 05,6
VfL Wolfsburg,Hertha BSC,6
VfL Wolfsburg,1. FC Köln,5
